,Random Forest,XGBoost,LightGBM,Decision Tree
month_mode_1,0.014480883894490705,0.009700383,8187.244322272947,0.00280374132054098
month_mode_2,0.00817948060596314,0.010355213,6213.255543325679,0.013334499878528267
month_mode_3,0.008736352372295265,0.009564247,6682.715355482477,0.015552533195854335
month_mode_4,0.006207623257210917,0.008786145,4257.244591342337,0.002397049838558681
month_mode_5,0.029868131889018244,0.02993453,21443.924587541587,0.03828902618818986
month_mode_6,0.006969627932896998,0.010421696,5264.060922933257,0.0026336213394272108
month_mode_7,0.003705883268488595,0.007634056,2433.223979851217,0.005795524181391911
month_mode_8,0.0026894641163830962,0.0059553864,2384.5971860797254,0.004361289274684124
month_mode_9,0.004449891909335296,0.0065859356,4153.236161713864,0.0018688299234997123
month_mode_10,0.008049230041366411,0.011311803,5593.374288685613,0.013349896280393835
month_mode_11,0.012399046173800901,0.01643237,7917.342254871232,0.014076253336919895
month_mode_12,0.004534164422506135,0.0072844457,2375.627706709038,0.007090488332449185
quarter_mode_1,0.01840947448076329,0.007936716,10156.27599357975,0.005851335092026434
quarter_mode_2,0.01733553777359163,0.006764372,5137.26953116464,0.003204349258860755
